1,0.0162501068879058,0.000291521040165321,0,0,0,0,0,0,0,0
2,0.0773282068831219,0.0170564849818278,0.000317289811878507,0.0043613221408815,0,0,0,0,0,0
3,0.129593949907587,0.0186434656761668,0.101298880924661,0.000223421650248956,0.00267918823506494,0.071325587813047,0,0,0,0
4,0.333800540816346,0.133326393025004,0.0166799012648914,1.51011249921605,0.000250910930839352,0.000755360515724287,0.00323456220222832,7.05606493652998,0,0
5,4.47840303717666,0.1239237411199,0.0268757282566904,0.039149388873156,16.820410594478,0.000727080128919702,0.000283837819981373,0.00338728146264403,0.0123193010647963,323.263755591948
